Location,Latitude,Longitude,Date,Temperature,Humidity,Rainfall,Malaria Cases,Dengue Cases,Population Density,Water Body Nearby,Green Cover,Healthcare Facilities,Risk Level,Probability Score
Mumbai,19.076,72.8777,2016-01,25.618101782710436,87.53571532049581,365.99697090570254,21,6,8795.585311974417,1,15.714672716877631,3,Medium,0.5061753482887408
Mumbai,19.076,72.8777,2016-02,34.54864778242992,81.62213204002109,106.16955533913807,15,27,4887.505167779042,0,30.990986410335566,10,High,0.8093331326427231
Mumbai,19.076,72.8777,2016-03,34.60633278262189,51.638567021515215,45.3032172664104,7,41,4468.748522859245,1,13.906884560255355,15,Medium,0.7049790556476375
Mumbai,19.076,72.8777,2016-04,29.149949866739313,81.65974558680821,86.68232675388604,4,31,8580.562971354986,1,47.579957662567566,4,Medium,0.6793699936433255
Mumbai,19.076,72.8777,2016-05,33.82811352534675,44.424625102595975,97.9914312095726,2,26,4210.779940242303,1,34.281369907467386,13,Medium,0.5422772674924288
Mumbai,19.076,72.8777,2016-06,32.032954711310595,43.727532183988544,493.44346830025864,24,33,7941.433120173511,0,47.05203514053396,9,Medium,0.7744879026631343
Mumbai,19.076,72.8777,2016-07,32.75057866684699,62.47253370691017,47.705058245205656,6,34,3304.6149048519155,0,30.909313175279763,15,Medium,0.5332672462435494
Mumbai,19.076,72.8777,2016-08,26.590047527986552,50.08596011676981,447.8817978367597,20,12,6439.756413500355,0,40.22204554172195,4,Medium,0.7828560711673944
Mumbai,19.076,72.8777,2016-09,28.98298199732804,74.73924665198523,440.23391950762885,22,22,2965.9639349515023,1,45.70235993959911,11,High,0.8648690042010548
Mumbai,19.076,72.8777,2016-10,21.8313193205101,57.814891903848746,453.414220772877,17,8,5806.8047743789775,1,18.88431241882921,19,Medium,0.5808237001395564
Mumbai,19.076,72.8777,2016-11,23.66188283371661,48.41455210864653,109.38210978653512,21,4,3221.8845655474106,0,29.88994023569542,17,Medium,0.54442607898602
Mumbai,19.076,72.8777,2016-12,34.96610727573413,53.33905071376425,488.30747791632643,19,27,7126.349063992901,0,29.57811041110252,6,Medium,0.5726165814534502
Mumbai,19.076,72.8777,2017-01,30.08203321108818,78.08098076643589,118.81877199619983,23,32,5821.972156672827,1,41.93380499938205,9,High,0.8641560129943472
Mumbai,19.076,72.8777,2017-02,22.797777655997812,42.0387570777382,295.4464715941209,22,10,6806.555113685049,1,47.62093057958416,8,Medium,0.6160206038901612
Mumbai,19.076,72.8777,2017-03,34.050949831051014,46.87604720729966,170.53317552512925,14,37,6939.856414307611,1,49.28673373317742,17,Medium,0.5725556872701355
Mumbai,19.076,72.8777,2017-04,21.396541517088487,84.86078789766634,450.2090285816652,22,8,9073.992339573193,1,26.180325084887603,1,Medium,0.6926094938462863
Mumbai,19.076,72.8777,2017-05,21.262099474925733,48.08143570473069,449.2770942635396,21,5,1045.5542546159681,1,22.214554413775737,2,Medium,0.707568559307808
Mumbai,19.076,72.8777,2017-06,29.779418892539006,51.21346547302799,356.08961067376794,16,34,8643.010694447601,0,22.32243167409557,16,Medium,0.5281024303484277
Mumbai,19.076,72.8777,2017-07,25.515737045891502,53.26011838408627,121.9948216895418,27,13,6192.134961637232,1,44.56670260287612,16,Medium,0.5842317087322567
Mumbai,19.076,72.8777,2017-08,20.364739496471806,72.27361479535838,88.55533970352447,4,16,9699.893371393026,0,49.213263348641824,1,Low,0.15846100257813883
Mumbai,19.076,72.8777,2017-09,22.542391200291387,67.84006312291751,468.0773870803905,23,5,9910.48465093837,1,20.16654596278955,10,Medium,0.7632119215783867
Mumbai,19.076,72.8777,2017-10,31.111529266313067,74.8507870497634,351.2420419935546,18,30,8184.656610700977,0,12.837636679997107,14,High,0.9591585338872202
Mumbai,19.076,72.8777,2017-11,33.350080127263496,56.89975784257679,187.79147631997202,13,31,6317.499345121097,1,20.01005442063456,10,Medium,0.7467801681978975
Mumbai,19.076,72.8777,2017-12,25.402859621168943,46.35302563259424,261.1216300274022,24,11,1465.1354905174694,1,26.454156202267143,3,Medium,0.691228970449462
Mumbai,19.076,72.8777,2018-01,30.891370005839924,88.79260397312673,258.15017415059765,17,26,1706.1074320803937,0,17.3733469732548,9,High,0.9376999801530733
Mumbai,19.076,72.8777,2018-02,20.872903932626656,85.76068638132402,221.17611486555222,16,7,6744.435344590153,0,39.51587666783074,5,Medium,0.6835162238703056
Mumbai,19.076,72.8777,2018-03,26.29400093641685,52.386549475057876,177.98633932563078,24,5,1366.5592208707312,1,49.18042114486034,5,Medium,0.6422521487261976
Mumbai,19.076,72.8777,2018-04,21.46751240976502,64.58079375584163,236.73588539028285,15,9,6715.842857808794,1,20.43574493366856,10,Medium,0.6877579747142709
Mumbai,19.076,72.8777,2018-05,27.547043878701317,82.82449205941612,329.3468158094725,15,11,6271.98023146117,0,42.03797178729599,12,Medium,0.6164509778619566
Mumbai,19.076,72.8777,2018-06,29.649323276635297,62.91264452457583,272.8083946579675,29,24,1907.0020123968397,1,11.558525292409346,18,High,0.9366013546832714
Mumbai,19.076,72.8777,2018-07,21.067829726903433,55.948781514688065,422.43765548472726,17,12,8897.248121743476,1,26.71784126862315,4,Medium,0.5532318631339168
Mumbai,19.076,72.8777,2018-08,31.259221274612877,80.3417369633632,495.2525710003367,19,35,9376.815930432083,0,19.543874391613606,13,High,0.9479817520894749
Mumbai,19.076,72.8777,2018-09,23.57354228605969,58.886444308814745,267.1637367652817,20,8,1481.36767072632,0,46.21527905677055,12,Medium,0.6064715571388162
Mumbai,19.076,72.8777,2018-10,34.35201327689684,73.83849522121517,241.26047482132122,20,21,5983.327471112207,0,40.0949811775072,16,High,0.9579236285589108
Mumbai,19.076,72.8777,2018-11,21.368091545730355,64.72101523512907,28.779380008322143,5,13,1910.104085105112,0,27.043659001877643,8,Low,0.036381503182096764
Mumbai,19.076,72.8777,2018-12,32.32790088935534,75.31211135782482,40.67439032094988,7,28,7994.322243346931,1,38.20337457186639,10,Medium,0.7719063155284208
Mumbai,19.076,72.8777,2019-01,21.66796223459227,64.63125521454296,5.676822383709535,2,12,9659.552936270877,0,29.108595635209106,1,Low,0.11179791925972632
Mumbai,19.076,72.8777,2019-02,34.44833809160917,40.60772373449082,484.93941335381953,12,32,5090.86958290996,0,37.87700223455259,3,Medium,0.7703474031472968
Mumbai,19.076,72.8777,2019-03,20.681695705121868,54.04815947961151,475.20574203827937,26,11,2693.0904375138516,1,25.530735359594885,18,Medium,0.5797813774892717
Mumbai,19.076,72.8777,2019-04,25.405176428079024,52.99749314271313,226.6204234144155,19,8,1685.8034163924683,1,47.99199653167696,5,Medium,0.684024558780737
Mumbai,19.076,72.8777,2019-05,26.273645544359283,86.63642416770065,433.03194475020416,9,9,9885.4851638345,0,25.06955879751763,17,Low,0.4191643523555689
Mumbai,19.076,72.8777,2019-06,27.030397396924556,60.74097511688326,136.70353596535313,25,9,9586.459245328502,0,18.28910596032226,1,Medium,0.701510205321757
Mumbai,19.076,72.8777,2019-07,29.271923606868437,57.90813590164203,56.778796099814514,9,32,2916.677453580197,1,34.69054848389168,2,Medium,0.6051762676419791
Mumbai,19.076,72.8777,2019-08,28.848765302819494,59.61220225498661,218.73746101186453,27,30,4568.885040891431,0,30.944091040600448,17,Medium,0.7848561870972927
Mumbai,19.076,72.8777,2019-09,22.20610221393557,86.32938125807472,246.0581465397691,17,8,3161.310569003738,0,31.490536668562804,16,Medium,0.5455708080536883
Mumbai,19.076,72.8777,2019-10,22.082407589741152,72.04373724016074,90.94004219957242,5,2,3507.313051287628,0,11.272187259406605,6,Low,0.060317935550300406
Mumbai,19.076,72.8777,2019-11,26.911681520490887,50.31668592028963,182.13493052403774,20,11,8862.207616960995,0,25.091438609682903,17,Medium,0.5830632944441612
Mumbai,19.076,72.8777,2019-12,32.09301919689592,77.41298451918291,92.26050967818867,5,34,3271.932499096187,0,37.48662021613325,14,Medium,0.7248848696025763
Mumbai,19.076,72.8777,2020-01,20.457082291003914,83.36074905373616,177.07333539656273,19,12,6075.685828169528,0,18.457920279861785,12,Medium,0.5699649234649404
Mumbai,19.076,72.8777,2020-02,25.143902964173904,63.69849707152781,177.55215163965238,22,11,6019.6803935539365,1,27.266381849187177,19,Medium,0.6136317877853869
Mumbai,19.076,72.8777,2020-03,25.06170250807877,84.98236985725062,303.7776111467864,16,9,8657.357660525317,1,21.403806747753883,9,Medium,0.5240701236984927
Mumbai,19.076,72.8777,2020-04,27.86767084355382,60.51984134948307,491.1893084543032,13,13,2537.9882865105924,0,42.834458926134104,2,Medium,0.6670288679041789
Mumbai,19.076,72.8777,2020-05,28.574190342048496,53.998954683014205,384.74646659596846,15,29,3181.687591735722,0,38.289203825777776,14,Medium,0.5865891659720768
Mumbai,19.076,72.8777,2020-06,28.718573321339186,47.718135763710116,240.57005092740874,20,27,1570.3747342549098,1,18.069218493209434,8,Medium,0.7429623337563904
Mumbai,19.076,72.8777,2020-07,23.819609821456456,74.07513611119646,380.1139299448433,21,9,9365.762298230433,1,39.838981021948726,18,Medium,0.5372891670456634
Mumbai,19.076,72.8777,2020-08,30.963012128054665,86.91702284105189,90.61653308283007,4,35,2472.9034857913402,0,17.456199471525764,19,Medium,0.69955916620886
Mumbai,19.076,72.8777,2020-09,27.84598137153679,57.941524206175124,438.60027040655416,18,9,5164.118071026458,1,31.59124247658532,15,Medium,0.6732458812718377
Mumbai,19.076,72.8777,2020-10,25.33043677727594,59.5741055100751,265.928739844087,11,10,3995.3420732123586,0,23.396224586283445,15,Medium,0.7635887346120316
Mumbai,19.076,72.8777,2020-11,27.431354396059483,77.07304555695228,286.57542462869435,23,6,7426.576740012528,0,45.07062547046998,1,Medium,0.5308748092232435
Mumbai,19.076,72.8777,2020-12,28.047220272268923,58.94107827784579,228.50010964083916,21,31,4680.596593769439,0,38.801461461842976,19,Medium,0.70818453334013
Mumbai,19.076,72.8777,2021-01,28.140866650213944,52.58995294534763,172.84799675195973,21,29,2380.1626280447217,0,15.564647765722475,18,Medium,0.6834362706303944
Mumbai,19.076,72.8777,2021-02,20.27165275731261,83.60619544720757,466.0591412418062,21,15,2372.851386228352,1,24.97741478881688,9,Medium,0.6272392013907158
Mumbai,19.076,72.8777,2021-03,31.046663534370843,86.71835073845074,462.78425645338814,19,23,8829.067258559155,0,19.095824835084507,15,High,0.8798005407740261
